url,houseInfo,region,totalPrice,unitPrice
http://bj.lianjia.com/ershoufang/101101402738.html, | 3室1厅 | 72.31平米 | 东 西 | 简装 | 无电梯,新中西里 ,885,122390
http://bj.lianjia.com/ershoufang/101101388980.html, | 2室1厅 | 104.6平米 | 东 西 | 简装,芍药居北里 ,930,88911
http://bj.lianjia.com/ershoufang/101101387954.html, | 2室1厅 | 95.88平米 | 南 | 精装 | 有电梯,世纪金色嘉园 ,810,84481
http://bj.lianjia.com/ershoufang/101101385264.html, | 2室1厅 | 90.47平米 | 南 | 精装 | 有电梯,东恒时代二期 ,870,96165
http://bj.lianjia.com/ershoufang/101101396280.html, | 2室2厅 | 88.59平米 | 南 北 | 其他 | 有电梯,芳源里 ,540,60955
http://bj.lianjia.com/ershoufang/101101387505.html, | 2室1厅 | 62.5平米 | 东南 | 精装,志强南园 ,580,92800
http://bj.lianjia.com/ershoufang/101101313468.html, | 2室1厅 | 68.66平米 | 西南 | 简装 | 有电梯,易构空间 ,600,87388
http://bj.lianjia.com/ershoufang/101101384198.html, | 2室1厅 | 114.69平米 | 南 | 简装 | 有电梯,亚奥人家 ,970,84576
http://bj.lianjia.com/ershoufang/101101336669.html, | 3室1厅 | 99.15平米 | 南 北 | 精装 | 无电梯,石园北区 ,450,45386
http://bj.lianjia.com/ershoufang/101101315421.html, | 2室0厅 | 65.66平米 | 南 | 简装,八角南路 ,360,54828
http://bj.lianjia.com/ershoufang/101101356802.html, | 2室1厅 | 102.84平米 | 南 北 | 简装,天泰新房苑 ,518,50370
http://bj.lianjia.com/ershoufang/101101345602.html, | 2室1厅 | 91.56平米 | 东南 | 精装 | 无电梯,北亚花园 ,408,44561
http://bj.lianjia.com/ershoufang/101101429284.html, | 3室1厅 | 107.7平米 | 南 | 简装,民族大学南路19号院 ,1100,102136
http://bj.lianjia.com/ershoufang/101101422029.html, | 2室1厅 | 49.69平米 | 南 北 | 简装,铜厂子胡同 ,560,112699
http://bj.lianjia.com/ershoufang/101101436876.html, | 1室1厅 | 54.61平米 | 南 北 | 简装,建欣苑三里 ,366,67021
http://bj.lianjia.com/ershoufang/101101411801.html, | 3室1厅 | 132.41平米 | 南 北 | 精装 | 有电梯,顶秀青溪 ,755,57020
http://bj.lianjia.com/ershoufang/101101411801.html, | 3室1厅 | 132.41平米 | 南 北 | 精装 | 有电梯,顶秀青溪 ,755,57020
http://bj.lianjia.com/ershoufang/101101397683.html, | 2室1厅 | 101.42平米 | 南 北 | 精装 | 有电梯,天通苑东二区 ,460,45356
http://bj.lianjia.com/ershoufang/101101412548.html, | 3室1厅 | 115.3平米 | 东 西 | 精装,阜成门外大街 ,1120,97138
http://bj.lianjia.com/ershoufang/101101411808.html, | 1室1厅 | 88.21平米 | 南 | 简装 | 有电梯,望京西园三区 ,640,72555
http://bj.lianjia.com/ershoufang/101101408238.html, | 2室2厅 | 80.08平米 | 西南 | 精装 | 有电梯,八里庄南里 ,520,64936
http://bj.lianjia.com/ershoufang/101101396126.html, | 2室2厅 | 143.86平米 | 南 北 | 精装,天通西苑二区 ,560,38927
http://bj.lianjia.com/ershoufang/101101160251.html, | 4室1厅 | 91.71平米 | 南 北 | 简装,北官厅胡同甲二号院 ,1238,134991
http://bj.lianjia.com/ershoufang/101101351090.html, | 2室2厅 | 97.51平米 | 南 北 | 精装 | 有电梯,万象新天二区 ,730,74865
http://bj.lianjia.com/ershoufang/101101322124.html, | 3室1厅 | 82.04平米 | 南 西 北 | 简装 | 无电梯,羊肉胡同120号院 ,1118,136275
http://bj.lianjia.com/ershoufang/101101328982.html, | 2室1厅 | 107.23平米 | 西北 | 精装,凤凰城一期 ,1030,96056
http://bj.lianjia.com/ershoufang/101101347526.html, | 2室2厅 | 95.11平米 | 南 北 | 简装,云趣园一区 ,530,55725
